id|description|column|type|indice_id|status|score
<<<<<<< HEAD
1000|administration|Administration|indice||1|10
=======
1000|administration|administration|indice||1|10
>>>>>>> upstream/cQube-release-new
1001|% CWSN Students receiving Incentives|adm_cwsn_students_incentives|metric|1000|1|5
1002|% General Students receiving Incentives|adm_general_students_incentives|metric|1000|1|5
1003|% Category Students receiving Incentives|adm_category_students_incentives|metric|1000|1|5
1004|whether counselling to students|adm_students_counselling|metric|1000|1|10
1005|% Instructional days in a year|adm_instruct_days|metric|1000|1|5
1006|Average School hours for childrens|adm_avg_school_hours_childrens|metric|1000|1|5
1007|Average working hours for teachers|adm_avg_working_hours_teachers|metric|1000|1|10
1008|Special training for out of school children|adm_training_oosc|metric|1000|1|5
1009|Free textbooks received score|adm_free_textbook_score|metric|1000|1|10
1010|Technology and livelyhood education score|adm_tech_education_score|metric|1000|1|10
1011|Sports and games equipments available score|adm_sports_equipments_score|metric|1000|1|5
1012|student attendance electronically capture|adm_student_attendance_electronic|metric|1000|1|5
1013|teacher attendance electronically capture|adm_teacher_attendance_electronic|metric|1000|1|10
1014|Nodal teachers for school safety|adm_nodal_teacher|metric|1000|1|10
<<<<<<< HEAD
2000|arts lab index|Arts_Lab_Index|indice||1|5
=======
2000|arts lab index|arts_lab_index|indice||1|5
>>>>>>> upstream/cQube-release-new
2001|Language  Separate Room Available|artlab_language_room|metric|2000|1|25
2002|Geography  Separate Room Available|artlab_geography_room|metric|2000|1|25
2003|Home Science   Separate Room Available|artlab_home_science_room|metric|2000|1|25
2004|Psychology  Separate Room Available|artlab_psychology_room|metric|2000|1|25
<<<<<<< HEAD
3000|community participation|Community_Participation|indice||1|5
3001|% SMC members provided training|cp_smc_members_training_provided|metric|3000|1|40
3002|Total meetings held by SMC|cp_total_meetings_held_smc|metric|3000|1|40
3003|SMDC in school|cp_smdc_school|metric|3000|1|20
4000|enrollment|Enrollment|indice||1|10
=======
3000|community participation|community_participation|indice||1|5
3001|% SMC members provided training|cp_smc_members_training_provided|metric|3000|1|40
3002|Total meetings held by SMC|cp_total_meetings_held_smc|metric|3000|1|40
3003|SMDC in school|cp_smdc_school|metric|3000|1|20
4000|enrollment|enrollment|indice||1|10
>>>>>>> upstream/cQube-release-new
4001|% students who are CWSN of the total Students|enr_cwsn_students|metric|4000|1|20
4002|% students who are repeaters of the total Students|enr_repeaters_students|metric|4000|1|20
4003|% Female Students|enr_girls_students|metric|4000|1|20
4004|PTR|enr_pupil_teacher_ratio|metric|4000|1|20
4005|Students per Classroom (Good Condition)|enr_students_per_classroom|metric|4000|1|20
<<<<<<< HEAD
5000|grant expenditure|Grant_Expenditure|indice||1|5
=======
5000|grant expenditure|grant_expenditure|indice||1|5
>>>>>>> upstream/cQube-release-new
5001|%  grants spent on School Development|ge_spent_school_development|metric|5000|1|10
5002|%  grants spent on School Maintenance|ge_spent_school_maintenance|metric|5000|1|10
5003|%  grants spent for Teachers|ge_spent_for_teachers|metric|5000|1|10
5004|%  grants spent for civil works|ge_spent_civil_works|metric|5000|1|10
5005|%  grants spent Annual on schools|ge_spent_annual_school|metric|5000|1|5
5006|%  grants spent on minor repair|ge_spent_minor_repair|metric|5000|1|5
5007|%  grants spent on lab repair and replacement|ge_spent_lab_repair|metric|5000|1|5
5008|%  grants spent for books purchase|ge_spent_books_purchase|metric|5000|1|5
5009|%  grants spent on water,telephone,electricity|ge_spent_on_wte|metric|5000|1|5
5010|%  grants spent for others|ge_spent_others|metric|5000|1|5
5011|%  composite school grants spent|ge_school_grants|metric|5000|1|5
5012|%  grants spent for library|ge_spent_library|metric|5000|1|5
5013|%  grants spent on sports and physical education|ge_spent_physical_educ|metric|5000|1|5
5014|%  grants spent on media and community mobilization|ge_spent_media|metric|5000|1|5
5015|%  grants spent for SMC and SMDC training|ge_spent_smc_smdc|metric|5000|1|5
5016|%  pre-school grants spent|ge_spent_pre_school|metric|5000|1|5
<<<<<<< HEAD
6000|ict lab index|ICT_Lab_Index|indice||1|5
=======
6000|ict lab index|ICT_lab_index|indice||1|5
>>>>>>> upstream/cQube-release-new
6001|laptops functional per students |ict_func_laptop_per_student|metric|6000|1|10
6002|Tablets functional per students |ict_func_tablets_per_student|metric|6000|1|10
6003|Desktops  functional per students |ict_func_desktop_per_student|metric|6000|1|10
6004|servers  functional per students |ict_func_servers_per_student|metric|6000|1|10
6005|projectors  functional per students |ict_func_projector_per_student|metric|6000|1|10
6006|LED lights  functional per students |ict_func_led_per_student|metric|6000|1|10
6007|Webcamera  functional per students |ict_func_webcam_per_student|metric|6000|1|10
6008|power backup  functional per students |ict_func_pwrbkp_per_student|metric|6000|1|10
6009|printer  functional per students |ict_func_printer_per_student|metric|6000|1|10
6010|scanner  functional per students |ict_func_scanner_per_student|metric|6000|1|10
<<<<<<< HEAD
7000|medical index|Medical_Index|indice||1|5
=======
7000|medical index|medical_index|indice||1|5
>>>>>>> upstream/cQube-release-new
7001|Medical Check-up Conducted|med_checkup_conducted|metric|7000|1|60
7002|De-worming Tablets|med_dewoming_tablets|metric|7000|1|20
7003|Iron Tablets|med_iron_tablets|metric|7000|1|20
8000|nsqf|NSQF|indice||1|5
8001|% Students got placed in class 10|nsqf_placement_class_10_placed|metric|8000|1|40
8002|% Students got placed in class 12|nsqf_placement_class_12_placed|metric|8000|1|40
8003|% Students getting incentives|nsqf_students_incentives|metric|8000|1|20
<<<<<<< HEAD
9000|policy implementation|Policy_Implementation|indice||1|5
9001|CCE score for school |pi_cce|metric|9000|1|60
9002|% childrens enrolled under section 12 RTE|pi_enrolled_rte|metric|9000|1|40
